state_code,city,lat,lon,price_per_gallon,name,address,opis_id
OK,Big Cabin,36.5378,-95.2202,3.0073,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",7
WI,Tomah,43.9747,-90.4957,3.2873,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",9
AZ,Gila Bend,32.9478,-112.7187,3.899,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",20
AR,Fort Smith,34.469704,-91.711358,3.399,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",28
NJ,Columbia,34.0007,-81.0348,3.079,ACI TRUCK STOP,US-46,35
VA,Mount Jackson,38.7426,-78.6428,2.899,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",36
TX,Jarrell,30.824,-97.6044,2.919,CIRCLE K #2612042,"I-35,  EXIT 271",44
AL,Shorter,32.3957,-85.9216,3.154,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",46
IN,Seymour,40.996485,-88.472984,3.959,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",49
IA,Council Bluffs,41.2619,-95.8608,3.7257,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",50
ND,Sterling,48.734794,-98.963424,3.5157,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",56
CO,Montrose,38.4783,-107.8762,3.424,Good 2 Go #709,US-50,75
DE,Laurel,38.418523,-75.745376,3.229,OASIS TRAVEL PLAZA,US-13,77
DE,New Castle,39.794994,-74.686553,3.249,DELAWARE TRUCK PLAZA,US-13 & US-40,79
FL,Ellenton,27.5253,-82.521,3.439,One9 #89,"I-75, EXIT 224",81
CO,Dumont,39.7219,-105.6627,3.459,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",85
GA,Crawfordville,33.5537,-82.8971,3.499,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",91
MI,Bridgeport,43.591324,-83.080213,3.3373,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",105
AZ,Lupton,35.3603,-109.0817,3.299,Lupton Truck Stop #567,"I-40, EXIT 359",118
AZ,Eloy,32.7837,-111.5548,3.474,PETRO STOPPING CENTER #306,"I-10, EXIT 200",121
KY,Henderson,36.0395,-114.9817,3.609,CIRCLE K #4700095,US-41,127
IL,Effingham,39.12,-88.5434,3.4323,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",128
IL,Atkinson,40.461222,-89.771431,3.4757,LOVES TRAVEL STOP #766,"I-80, EXIT 27",135
IN,Daleville,40.1231,-85.538,3.624,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",147
IN,Fort Wayne,41.0793,-85.1394,3.5923,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",149
NE,Gothenburg,40.9261,-100.1605,3.1323,CUBBYS #2101,"I-80, EXIT 211 & SR-47",151
FL,Jacksonville,30.3322,-81.6557,3.859,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",159
LA,Denham Springs,30.488,-90.9579,3.2323,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",160
IN,Lake Station,41.5742,-87.252,3.809,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",164
IN,Hebron,40.843544,-86.143572,3.4357,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,167
TX,Nacogdoches,30.072134,-95.472285,2.859,Hop-In Food Stores,US-59 & SR-224,174
IA,Council Bluffs,41.2619,-95.8608,3.719,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",184
WY,Moorcroft,41.467731,-107.876019,3.239,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",186
IA,Latimer,42.7661,-93.368,3.2323,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",187
IA,Clear Lake,42.417421,-94.71935,3.1857,KUM & GO #0302,"I-35, EXIT 193 & SR 106",191
IA,Stuart,42.382127,-92.636997,3.099,Brew Stuart Truckstop,"I-80, EXIT 93",192
AR,West Memphis,35.1465,-90.1845,3.3673,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",195
CO,Atwood,40.5366,-103.251,3.299,SINCLAIR,"I-76, EXIT 115",198
KS,Salina,39.485424,-96.13531,3.8057,PETRO STOPPING CENTER #366,"I-70, EXIT 252",199
IN,Highland,40.949426,-84.83769,3.814,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",203
OH,Sardinia,39.0081,-83.8098,3.5657,MARATHON,SR-32,207
MS,Ocean Springs,30.4099,-88.827,3.4157,CIRCLE K #2721593,"I-10, EXIT 50",216
KS,Salina,39.485424,-96.13531,3.0257,NORTH 9TH 24/7,"I-70, EXIT 252",217
KY,Mount Vernon,38.674022,-85.878891,2.999,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",231
FL,Ocala,28.41922,-81.872077,3.3857,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",235
LA,Port Allen,30.4527,-91.2085,3.039,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",240
IN,Lake Village,40.349426,-87.608278,3.179,SAVE,US-41 & SR-10,243
LA,Duson,30.231,-92.179,2.9823,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",244
LA,New Orleans,29.9511,-90.0715,3.729,Mardi Gras Truck Stop,"I-10, EXIT 236",248
KS,Hays,38.8789,-99.3267,3.499,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",250
AR,West Memphis,35.1465,-90.1845,3.3257,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",253
MD,Grantsville,38.858064,-77.67563,3.899,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",256
MT,Great Falls,47.5002,-111.3008,3.6357,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,257
MI,Bridgman,41.9428,-86.5569,3.559,CASEYS #3956,I-94 EXIT 16,263
KS,Dodge City,37.7528,-100.0171,3.399,CORNER MARKET #117,SR-154 & SR-129,267
MI,Monroe,43.014853,-83.486095,3.379,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",269
IN,Carlisle,39.478838,-85.861219,3.499,CARLISLE PLAZA,US-41,278
IN,Taylorsville,38.525897,-85.843572,3.399,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",281
KS,Lawrence,37.944247,-94.970604,3.229,LOVES TRAVEL STOP #173,"I-70, MM 209",289
KS,Cherryvale,37.27,-95.5536,3.2323,PETES #56,US-169 & CR-5000,292
KS,Matfield Green,38.1541,-96.5449,3.2557,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",293
MA,Springfield,39.7817,-89.6501,3.599,FL Roberts,"I-91, EXIT 4",304
KS,Kansas City,39.0997,-94.5786,3.199,QUIKTRIP #231,"I-635, EXIT 3",309
